Jeu,Titre,Chaîne,Nombre de vues,Date de la mise en ligne,Lien de la vidéo
League of Legends,TYLER1 FINALLY CRACKS SOMEBODY'S MENTAL BY WRITING TOP GAP | JANKOS' BM WENT WRONG | LOL MOMENTS,Fun of Legends,26000,il y a 4 jours,https://www.youtube.com/watch?v=wbUVViWnbro
League of Legends,Top hightlight | League of Legends | Part 78,ELEVATOR FF,73000,il y a 4 jours,https://www.youtube.com/watch?v=LI2lxB2zgE0
League of Legends,Top hightlight | League of Legends | Part 112,ELEVATOR FF,95000,il y a 1 jour,https://www.youtube.com/watch?v=dJO-EjE5b0E
League of Legends,Top hightlight | League of Legends | Part 76,ELEVATOR FF,75000,il y a 4 jours,https://www.youtube.com/watch?v=I2o2e49ULsw
League of Legends,Top hightlight | League of Legends | Part 56,ELEVATOR FF,74000,il y a 5 jours,https://www.youtube.com/watch?v=v13HolV4nZY
League of Legends,Broken Covenant Rakan Skin Spotlight - Pre-Release - PBE Preview - League of Legends,SkinSpotlights,41000,il y a 3 jours,https://www.youtube.com/watch?v=fyqqTW8cCxQ
League of Legends,Dzukill - Best Yone Plays 3 - League of Legends #shorts,Czokled,94000,il y a 5 jours,https://www.youtube.com/watch?v=3wqH5wfQE3k
League of Legends,Top hightlight | League of Legends | Part 71,ELEVATOR FF,74000,il y a 4 jours,https://www.youtube.com/watch?v=-hEetTX2I2w
League of Legends,Broken Covenant Riven - DANCE Legendary - League of Legends,Big Bad Bear,30000,il y a 4 jours,https://www.youtube.com/watch?v=c-F4U-d3k6w
League of Legends,ipav999 vs Riven - 4/0/0 vs 0/4/0 - League of Legends #shorts,Czokled,92000,il y a 3 jours,https://www.youtube.com/watch?v=UAWch7XEY20
League of Legends,[LOL] Summary Highlights League of Legends | Top Stages Part 16,مؤمل /mumil,67000,il y a 3 jours,https://www.youtube.com/watch?v=q4Apk0cHH78
League of Legends,The 40 ORIGINAL Champions Riot Designed For League of Legends,Remus,37000,il y a 4 jours,https://www.youtube.com/watch?v=Vi-mIT-v5C4
League of Legends,Top hightlight | League of Legends | Part 77,ELEVATOR FF,64000,il y a 4 jours,https://www.youtube.com/watch?v=QTmfIhybpns
League of Legends,Broken Covenant Vladimir Skin Spotlight - Pre-Release - PBE Preview - League of Legends,SkinSpotlights,43000,il y a 3 jours,https://www.youtube.com/watch?v=5HxGw6y567U
League of Legends,Broken Covenant Nocturne Skin Spotlight - Pre-Release - PBE Preview - League of Legends,SkinSpotlights,42000,il y a 3 jours,https://www.youtube.com/watch?v=ezp3IyFEUPQ
League of Legends,ALL 7 NEW BROKEN COVENANT SKINS & SPLASH ARTS - League of Legends,Remus,25000,il y a 4 jours,https://www.youtube.com/watch?v=nr_lJht3N1c
League of Legends,Top hightlight | League of Legends | Part 93,ELEVATOR FF,55000,il y a 3 jours,https://www.youtube.com/watch?v=e2xTE7IpY-A
League of Legends,I Started Playin Jarvan IV Mid | League of Legends,MFPallytime,10000,il y a 5 jours,https://www.youtube.com/watch?v=YRQHq0AhBsY
League of Legends,When LOL Players Have PERFECT Luck...,Protatomonster,34000,il y a 6 jours,https://www.youtube.com/watch?v=ee81WgK8hjo
League of Legends,Top hightlight | League of Legends | Part 1014,ELEVATOR FF,55000,Diffusé il y a 6 jours,https://www.youtube.com/watch?v=-0H5X0bFkfc
League of Legends,IrelKing - Best Plays 4 - League of Legends #shorts,Czokled,84000,il y a 5 jours,https://www.youtube.com/watch?v=9jffj70Q_3k
League of Legends,Bob l'éponge | LEC Winter Week 5 Voicecomms,G2 League of Legends,75000,il y a 1 jour,https://www.youtube.com/watch?v=uv4BTOXHdVY
Dota 2,SHOPIFY REBELLION (old.EG) vs BETBOOM - INCREDIBLE GAME - LIMA MAJOR 2023 DOTA 2,NoobFromUA,100000,il y a 3 jours,https://www.youtube.com/watch?v=n7SUMeJb6eI
Dota 2,LIQUID vs BETBOOM - LIMA MAJOR 2023 - GROUP STAGE DOTA 2,NoobFromUA,96000,il y a 3 jours,https://www.youtube.com/watch?v=Q2cCWS1WmHk
Dota 2,LIQUID vs ENTITY - LIMA MAJOR 2023 - GROUP STAGE DOTA 2,NoobFromUA,97000,il y a 2 jours,https://www.youtube.com/watch?v=VNuBSb4b7fA
Dota 2,"If you want a broken build, watch this!",Holy E,103000,il y a 4 jours,https://www.youtube.com/watch?v=rXXr1SZlfBI
